   3017 
    137 IPR001680	WD40 repeat
      1 IPR040139	Cell growth regulator with EF hand domain protein 1
      1 IPR040122	Importin beta family
      1 IPR040099	Zinc finger ZZ-type and EF-hand domain-containing protein 1
      1 IPR040079	Glutathione Transferase family
      1 IPR040054	28S ribosomal protein S18b, mitochondrial
      1 IPR039989	ADP-ribose pyrophosphatase, mitochondrial
      1 IPR039983	Cholesterol 24-hydroxylase
      1 IPR039979	Pre-mRNA-splicing factor 18
      1 IPR039959	Fimbrin/Plastin
      1 IPR039956	Plastin-2/3
      1 IPR039948	Elongin-C
      1 IPR039941	Tetratricopeptide repeat protein 30
      1 IPR039896	Protein Red-like
      1 IPR039808	Cadherin
      1 IPR039779	RFX-like DNA-binding protein
      1 IPR039726	Pre-mRNA-processing factor Prp40
      1 IPR039718	Ribonucleoside-diphosphate reductase large subunit
      1 IPR039687	Nephrocystin-1
      1 IPR039665	APBB1IP, PH domain
      1 IPR039664	GRB/APBB1IP
      1 IPR039653	Prenyltransferase
      1 IPR039604	Nuclear segregation protein Bfr1
      1 IPR039577	E3 ubiquitin-protein ligase Rad18
      1 IPR039576	Fe65
      1 IPR039551	Choline/carnitine acyltransferase domain
      1 IPR039487	Dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase
      1 IPR039357	3-oxo-5-alpha-steroid 4-dehydrogenase/very-long-chain enoyl-CoA reductase
      1 IPR039181	EIG121-like
      1 IPR039030	Calmodulin
      1 IPR039016	Reversion-inducing cysteine-rich protein with Kazal motifs
      1 IPR038716	Ribosomal protein P1/P2, N-terminal domain
      1 IPR038659	Alternative oxidase superfamily
      1 IPR038577	GT10-like superfamily
      1 IPR038532	NADH dehydrogenase ubiquinone Fe-S protein 4-like superfamily
      1 IPR038286	Inositol polyphosphate kinase superfamily
      1 IPR038077	Troponin domain superfamily
      1 IPR037987	Four and a half LIM domains protein 2/3/5
      1 IPR037931	Chromatin complexes subunit BAP18
      1 IPR037893	Calcyclin-binding Protein, CS domain
      1 IPR037847	GRAM domain-containing protein 4
      1 IPR037626	Nucleoporin Nup37
      1 IPR037555	Proteasome subunit alpha 3
      1 IPR037545	Tripartite DENN domain, FNIP1/2-type
      1 IPR037457	M28 Zn-Peptidase Glutaminyl Cyclase
      1 IPR037438	Talin-1/2, rod-segment
      1 IPR037359	Heparan sulfate sulfotransferase
      1 IPR037313	Serine/threonine-protein kinase N, first HR1 domain
      1 IPR037282	F-actin-capping protein subunit alpha/beta
      1 IPR037272	Sodium:neurotransmitter symporter superfamily
      1 IPR037239	Oxysterol-binding protein superfamily
      1 IPR037225	NADH-ubiquinone oxidoreductase 51kDa subunit, FMN-binding domain superfamily
      1 IPR037201	Calcyclin-binding protein, N-terminal
      1 IPR037171	NagB/RpiA transferase-like
      1 IPR036985	Transglutaminase-like superfamily
      1 IPR036940	Phosphatidylinositol 3-/4-kinase, catalytic domain superfamily
      1 IPR036936	CRIB domain superfamily
      1 IPR036915	Cyclin-like superfamily
      1 IPR036866	Ribonuclease Z/Hydroxyacylglutathione hydrolase-like
      1 IPR036723	Alpha-catenin/vinculin-like superfamily
      1 IPR036719	Neurotransmitter-gated ion-channel transmembrane domain superfamily
      1 IPR036645	Elafin-like superfamily
      1 IPR036514	SGNH hydrolase superfamily
      1 IPR036513	STAS domain superfamily
      1 IPR036274	HR1 repeat superfamily
      1 IPR036238	Transglutaminase, C-terminal domain superfamily
      1 IPR036237	Xylose isomerase-like superfamily
      1 IPR036186	Serpin superfamily
      1 IPR036168	AP-2 complex subunit mu, C-terminal superfamily
      1 IPR036163	Heavy metal-associated domain superfamily
      1 IPR036126	Tubulin binding cofactor A superfamily
      1 IPR036096	Ataxin, AXH domain superfamily
      1 IPR036070	Nop domain superfamily
      1 IPR036056	Fibrinogen-like, C-terminal
      1 IPR036045	Sec1-like superfamily
      1 IPR036026	Seven-hairpin glycosidases
      1 IPR036010	2Fe-2S ferredoxin-like superfamily
      1 IPR035983	HECT, E3 ligase catalytic domain
      1 IPR035976	Sushi/SCR/CCP superfamily
      1 IPR035969	Rab-GTPase-TBC domain superfamily
      1 IPR035966	Phosphofructokinase superfamily
      1 IPR035902	Nucleoside phosphorylase/phosphoribosyltransferase catalytic domain superfamily
      1 IPR035655	116kDa U5 small nuclear ribonucleoprotein component, C-terminal
      1 IPR035647	EF-G domain III/V-like
      1 IPR035425	CENP-T/Histone H4, histone fold
      1 IPR035256	26S Proteasome regulatory subunit 6B
      1 IPR034905	Sorting nexin-25
      1 IPR034148	NCBP2, RNA recognition motif
      1 IPR034035	Astacin-like metallopeptidase domain
      1 IPR033966	RuBisCO
      1 IPR033923	p21 activated kinase binding domain
      1 IPR033909	Ribonucleotide reductase small subunit
      1 IPR033865	Machado-Joseph disease protein
      1 IPR033773	CBX family C-terminal motif
      1 IPR033771	Rrp44-like cold shock domain
      1 IPR033757	Pre-mRNA-splicing regulator WTAP
      1 IPR033745	Mitochondria fission protein Fis1, cytosolic domain
      1 IPR033468	Metaxin, glutathione S-transferase domain
      1 IPR033336	Stabilizer of axonemal microtubules 1/2
      1 IPR033317	Transcription-associated protein 1
      1 IPR033010	The WD repeat Cdc20/Fizzy family
      1 IPR032942	BPI/LBP/Plunc family
      1 IPR032922	Protein SON
      1 IPR032828	tRNA nucleotidyltransferase/poly(A) polymerase, RNA and SrmB- binding domain
      1 IPR032630	P-type ATPase, C-terminal
      1 IPR032501	Proteasomal ATPase OB C-terminal domain
      1 IPR032478	Staufen, C-terminal
      1 IPR032458	Histone H2A conserved site
      1 IPR032454	Histone H2A, C-terminal domain
      1 IPR032191	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
      1 IPR031981	Mitochondria-eating protein, C-terminal domain
      1 IPR031778	Sortilin, N-terminal
      1 IPR031569	Apextrin, C-terminal domain
      1 IPR031318	OPI10 family
      1 IPR031127	E3 ubiquitin ligase RBR family
      1 IPR031121	KH domain containing protein RIK/BLOM7
      1 IPR031083	3'-5' RNA helicase YTHDC2-like
      1 IPR030642	Nephrocystin-1, SH3 domain
      1 IPR030587	Myotubularin-related protein 1
      1 IPR030544	Clathrin interactor 1
      1 IPR030539	Synaptotagmin-15
      1 IPR030475	Ribonucleotide reductase small subunit, acitve site
      1 IPR030464	Lysosomal-trafficking regulator
      1 IPR030442	Liprin-alpha
      1 IPR030381	Dynamin-type guanine nucleotide-binding (G) domain
      1 IPR030369	ATP-binding cassette subfamily A member 7
      1 IPR030365	ATP-binding cassette subfamily A member 1
      1 IPR030359	Probable phospholipid-transporting ATPase VB
      1 IPR030355	Probable phospholipid-transporting ATPase IIB
      1 IPR030320	Plasma membrane calcium-transporting ATPase 1
      1 IPR030224	Sla2 family
      1 IPR030100	SWI/SNF complex subunit BRG1
      1 IPR030089	SWI/SNF complex subunit BAF57
      1 IPR029920	Uridine-cytidine kinase 1
      1 IPR029704	UPF0428 family
      1 IPR029515	LAR-interacting protein, Liprin
      1 IPR029473	Cell morphogenesis central region
      1 IPR029454	ODR-4-like
      1 IPR029422	Coiled coil protein 74, C-terminal
      1 IPR029045	ClpP/crotonase-like domain superfamily
      1 IPR029044	Nucleotide-diphospho-sugar transferases
      1 IPR029018	Beta-hexosaminidase-like, domain 2
      1 IPR029016	GAF-like domain superfamily
      1 IPR029012	Helix hairpin bin domain superfamily
      1 IPR028996	Ganglioside GM2 activator
      1 IPR028923	SAICAR synthetase/ADE2, N-terminal
      1 IPR028816	Caprin
      1 IPR028731	Poly [ADP-ribose] polymerase tankyrase-1
      1 IPR028085	Folliculin-interacting protein, middle domain
      1 IPR028061	Fis1, C-terminal tetratricopeptide repeat
      1 IPR028058	Fis1, N-terminal tetratricopeptide repeat
      1 IPR027873	Protein PAXX
      1 IPR027711	Rmd5
      1 IPR027534	Ribosomal protein L12/P1/P2 family
      1 IPR027443	Isopenicillin N synthase-like
      1 IPR027410	TCP-1-like chaperonin intermediate domain superfamily
      1 IPR027359	Voltage-dependent channel domain superfamily
      1 IPR027357	DHR-2 domain
      1 IPR027157	Nuclear cap-binding protein subunit 2
      1 IPR027137	Translocation protein Sec63
      1 IPR027075	Cleavage and polyadenylation specificity factor subunit 2
      1 IPR027059	Coatomer delta subunit
      1 IPR026992	Non-haem dioxygenase N-terminal domain
      1 IPR026915	Usherin
      1 IPR026849	Autophagy-related protein 2
      1 IPR026791	Dedicator of cytokinesis
      1 IPR026634	Protein-tyrosine sulfotransferase
      1 IPR026552	Frizzled-7
      1 IPR026300	CWF11 family
      1 IPR026169	Mitochondria-eating protein
      1 IPR025755	60S ribosomal protein L4, C-terminal domain
      1 IPR025714	Methyltransferase domain
      1 IPR025614	Cell morphogenesis protein N-terminal
      1 IPR024983	CHAT domain
      1 IPR024936	Cyclophilin-type peptidyl-prolyl cis-trans isomerase
      1 IPR024874	Transcription factor Maf family
      1 IPR024810	Mab-21 domain
      1 IPR024731	EGF domain
      1 IPR024607	Sulfatase, conserved site
      1 IPR024603	COG complex component, COG2, C-terminal
      1 IPR024111	Peroxisomal targeting signal 1 receptor family
      1 IPR024034	ATPase, F1/V1 complex, beta/alpha subunit, C-terminal
      1 IPR023796	Serpin domain
      1 IPR023795	Serpin, conserved site
      1 IPR023780	Chromo domain
      1 IPR023415	Low-density lipoprotein (LDL) receptor class A, conserved site
      1 IPR023393	START-like domain superfamily
      1 IPR023346	Lysozyme-like domain superfamily
      1 IPR023332	Proteasome alpha-type subunit
      1 IPR023329	Chlorophyll a/b binding domain superfamily
      1 IPR023213	Chloramphenicol acetyltransferase-like domain superfamily
      1 IPR022941	Signal recognition particle, SRP54 subunit
      1 IPR022878	V-type ATP synthase catalytic alpha chain
      1 IPR022796	Chlorophyll A-B binding protein
      1 IPR022675	Glucose-6-phosphate dehydrogenase, C-terminal
      1 IPR022141	Plasma membrane calcium transporting P-type ATPase, C-terminal
      1 IPR022096	SBF1/SBF2 domain
      1 IPR021990	Mediator complex, subunit Med12, LCEWAV-domain
      1 IPR021717	Nucleoporin Nup120/160
      1 IPR021150	Ubiquinol-cytochrome c chaperone/UPF0174
      1 IPR020946	Flavin monooxygenase-like
      1 IPR020894	Cadherin conserved site
      1 IPR020892	Cyclophilin-type peptidyl-prolyl cis-trans isomerase, conserved site
      1 IPR020878	Ribulose bisphosphate carboxylase, large chain, active site
      1 IPR020859	Roc domain
      1 IPR020849	Small GTPase superfamily, Ras-type
      1 IPR020604	CTF transcription factor/nuclear factor 1, DNA-binding domain
      1 IPR020568	Ribosomal protein S5 domain 2-type fold
      1 IPR020557	Fumarate lyase, conserved site
      1 IPR020003	ATPase, alpha/beta subunit, nucleotide-binding domain, active site
      1 IPR019821	Kinesin motor domain, conserved site
      1 IPR019809	Histone H4, conserved site
      1 IPR019804	Ras guanine-nucleotide exchange factor, conserved site
      1 IPR019762	Dynamin, GTPase region, conserved site
      1 IPR019747	FERM conserved site
      1 IPR019561	Translocon Sec61/SecY, plug domain
      1 IPR019548	CTF transcription factor/nuclear factor 1, N-terminal
      1 IPR019515	Vacuolar protein sorting-associated protein 54, N-terminal
      1 IPR019514	Syndetin, C-terminal
      1 IPR019443	FMP27,  C-terminal
      1 IPR019355	Cell cycle regulator Mat89Bb
      1 IPR019308	Transmembrane protein 214
      1 IPR019038	DNA polymerase delta subunit 3
      1 IPR018957	Zinc finger, C3HC4 RING-type
      1 IPR018951	Fumarase C, C-terminal
      1 IPR018574	Structure-specific endonuclease subunit Slx4
      1 IPR018298	Adrenodoxin, iron-sulphur binding site
      1 IPR018260	Ribosomal protein L22/L17, conserved site
      1 IPR018244	Allergen V5/Tpx-1-related, conserved site
      1 IPR018236	SAICAR synthetase, conserved site
      1 IPR018114	Serine proteases, trypsin family, histidine active site
      1 IPR018047	Ammonium transporter, conserved site
      1 IPR017981	GPCR, family 2-like
      1 IPR017972	Cytochrome P450, conserved site
      1 IPR017969	Heavy-metal-associated, conserved site
      1 IPR017943	Bactericidal permeability-increasing protein, alpha/beta domain superfamily
      1 IPR017942	Lipid-binding serum glycoprotein, N-terminal
      1 IPR017892	Protein kinase, C-terminal
      1 IPR017448	SRCR-like domain
      1 IPR017281	Myeloid differentiation primary response protein MyD88
      1 IPR016460	Coatomer beta subunit (COPB1)
      1 IPR016197	Chromo-like domain superfamily
      1 IPR016187	C-type lectin fold
      1 IPR016186	C-type lectin-like/link domain superfamily
      1 IPR016181	Acyl-CoA N-acyltransferase
      1 IPR016162	Aldehyde dehydrogenase, N-terminal
      1 IPR016161	Aldehyde/histidinol dehydrogenase
      1 IPR016157	Cullin, conserved site
      1 IPR016073	SKP1 component, POZ domain
      1 IPR015940	Ubiquitin-associated domain
      1 IPR015894	Guanylate-binding protein, N-terminal
      1 IPR015727	Protein kinase C mu-related
      1 IPR015557	Leukocyte elastase inhibitor (serpin B1)
      1 IPR015526	Frizzled/secreted frizzled-related protein
      1 IPR015424	Pyridoxal phosphate-dependent transferase
      1 IPR015421	Pyridoxal phosphate-dependent transferase, major domain
      1 IPR015403	Sec7, C-terminal
      1 IPR015120	Siah interacting protein, N-terminal
      1 IPR014896	NHR2-like
      1 IPR014756	Immunoglobulin E-set
      1 IPR014752	Arrestin, C-terminal
      1 IPR014746	Glutamine synthetase/guanido kinase, catalytic domain
      1 IPR014721	Ribosomal protein S5 domain 2-type fold, subgroup
      1 IPR014716	Fibrinogen, alpha/beta/gamma chain, C-terminal globular, subdomain 1
      1 IPR014371	Sterol O-acyltransferase, ACAT/DAG/ARE types
      1 IPR014001	Helicase superfamily 1/2, ATP-binding domain
      1 IPR013830	SGNH hydrolase-type esterase domain
      1 IPR013785	Aldolase-type TIM barrel
      1 IPR013602	Dynein heavy chain, domain-2
      1 IPR013144	CRA domain
      1 IPR013120	Fatty acyl-coenzyme A reductase, NAD-binding domain
      1 IPR013099	Potassium channel domain
      1 IPR013088	Zinc finger, NHR/GATA-type
      1 IPR013057	Amino acid transporter, transmembrane domain
      1 IPR013041	Clathrin adaptor, appendage, Ig-like subdomain superfamily
      1 IPR013000	Ribosomal protein L4/L1e, eukaryotic/archaeal, conserved site
      1 IPR012999	Pyridine nucleotide-disulphide oxidoreductase, class I, active site
      1 IPR012976	NOSIC
      1 IPR012916	RED-like, N-terminal
      1 IPR012675	Beta-grasp domain superfamily
      1 IPR012577	NIPSNAP
      1 IPR012492	Protein RED, C-terminal
      1 IPR012388	CDK5 and ABL1 enzyme substrate 1/2
      1 IPR012348	Ribonucleotide reductase-like
      1 IPR012347	Ferritin-like
      1 IPR012341	Six-hairpin glycosidase-like superfamily
      1 IPR012340	Nucleic acid-binding, OB-fold
      1 IPR011765	Peptidase M16, N-terminal
      1 IPR011761	ATP-grasp fold
      1 IPR011710	Coatomer beta subunit, C-terminal
      1 IPR011704	ATPase, dynein-related, AAA domain
      1 IPR011613	GH15-like domain
      1 IPR011545	DEAD/DEAH box helicase domain
      1 IPR011531	Bicarbonate transporter, C-terminal
      1 IPR011333	SKP1/BTB/POZ domain superfamily
      1 IPR011330	Glycoside hydrolase/deacetylase, beta/alpha-barrel
      1 IPR011268	Purine nucleoside phosphorylase
      1 IPR011236	Serine/threonine protein phosphatase 5
      1 IPR011108	Zn-dependent metallo-hydrolase, RNA specificity domain
      1 IPR011106	Seven cysteines, N-terminal
      1 IPR011021	Arrestin-like, N-terminal
      1 IPR011012	Longin-like domain superfamily
      1 IPR011011	Zinc finger, FYVE/PHD-type
      1 IPR011008	Dimeric alpha-beta barrel
      1 IPR010987	Glutathione S-transferase, C-terminal-like
      1 IPR010703	Dedicator of cytokinesis, C-terminal
      1 IPR010069	Filamentous haemagglutinin, 20-residue x2 repeat
      1 IPR009917	SRA1/Sec31
      1 IPR009836	Glycine-rich domain-containing protein-like
      1 IPR009535	Phospholipase C-beta, conserved site
      1 IPR009316	COG complex component, COG2
      1 IPR009060	UBA-like superfamily
      1 IPR009040	Ferritin-like diiron domain
      1 IPR009003	Peptidase S1, PA clan
      1 IPR008958	Transglutaminase, C-terminal
      1 IPR008917	Transcription factor, Skn-1-like, DNA-binding domain superfamily
      1 IPR008775	Phytanoyl-CoA dioxygenase
      1 IPR008758	Peptidase S28
      1 IPR008734	Phosphorylase kinase alpha/beta subunit
      1 IPR008493	Domain of unknown function DUF775
      1 IPR008331	Ferritin/DPS protein domain
      1 IPR008250	P-type ATPase, A domain superfamily
      1 IPR008011	Complex 1 LYR protein
      1 IPR007949	SDA1 domain
      1 IPR007863	Peptidase M16, C-terminal
      1 IPR007858	Dpy-30 motif
      1 IPR007699	SGS domain
      1 IPR007130	Diacylglycerol acyltransferase
      1 IPR007129	Ubiquinol-cytochrome c chaperone, CBP3
      1 IPR006674	HD domain
      1 IPR006602	Uncharacterised domain DM10
      1 IPR006594	LIS1 homology motif
      1 IPR006322	Glutathione reductase, eukaryote/bacterial
      1 IPR006287	Protein/nucleic acid deglycase DJ-1
      1 IPR006202	Neurotransmitter-gated ion-channel ligand-binding domain
      1 IPR006201	Neurotransmitter-gated ion-channel
      1 IPR006083	Phosphoribulokinase/uridine kinase
      1 IPR006068	Cation-transporting P-type ATPase, C-terminal
      1 IPR006026	Peptidase, metallopeptidase
      1 IPR005821	Ion transport domain
      1 IPR005804	Fatty acid desaturase domain
      1 IPR005517	Translation elongation factor EFG/EF2, domain IV
      1 IPR004826	Basic leucine zipper domain, Maf-type
      1 IPR004823	TATA box binding protein associated factor (TAF)
      1 IPR004680	Citrate transporter-like domain
      1 IPR004254	AdipoR/Haemolysin-III-related
      1 IPR004182	GRAM domain
      1 IPR004156	Organic anion transporter polypeptide
      1 IPR004098	Prp18
      1 IPR004088	K Homology domain, type 1
      1 IPR004046	Glutathione S-transferase, C-terminal
      1 IPR003960	ATPase, AAA-type, conserved site
      1 IPR003864	Calcium-dependent channel, 7TM region, putative phosphate
      1 IPR003806	ATP-grasp fold, PylC-type
      1 IPR003609	PAN/Apple domain
      1 IPR003607	HD/PDEase domain
      1 IPR003604	Matrin/U1-C-like, C2H2-type zinc finger
      1 IPR003593	AAA+ ATPase domain
      1 IPR003578	Small GTPase Rho
      1 IPR003527	Mitogen-activated protein (MAP) kinase, conserved site
      1 IPR003392	Protein patched/dispatched
      1 IPR003020	Bicarbonate transporter, eukaryotic
      1 IPR003018	GAF domain
      1 IPR003006	Immunoglobulin/major histocompatibility complex, conserved site
      1 IPR002867	IBR domain
      1 IPR002818	DJ-1/PfpI
      1 IPR002716	PIN domain
      1 IPR002687	Nop domain
      1 IPR002659	Glycosyl transferase, family 31
      1 IPR002645	STAS domain
      1 IPR002553	Clathrin/coatomer adaptor, adaptin-like, N-terminal
      1 IPR002300	Aminoacyl-tRNA synthetase, class Ia
      1 IPR002136	Ribosomal protein L4/L1e
      1 IPR002018	Carboxylesterase, type B
      1 IPR001969	Aspartic peptidase, active site
      1 IPR001902	SLC26A/SulP transporter
      1 IPR001763	Rhodanese-like domain
      1 IPR001753	Enoyl-CoA hydratase/isomerase
      1 IPR001648	Ribosomal protein S18
      1 IPR001519	Ferritin
      1 IPR001494	Importin-beta, N-terminal domain
      1 IPR001433	Oxidoreductase FAD/NAD(P)-binding
      1 IPR001412	Aminoacyl-tRNA synthetase, class I, conserved site
      1 IPR001353	Proteasome, subunit alpha/beta
      1 IPR001279	Metallo-beta-lactamase
      1 IPR001232	S-phase kinase-associated protein 1-like
      1 IPR001223	Glycoside hydrolase family 18, catalytic domain
      1 IPR001078	2-oxoacid dehydrogenase acyltransferase, catalytic domain
      1 IPR000917	Sulfatase, N-terminal
      1 IPR000873	AMP-dependent synthetase/ligase
      1 IPR000867	Insulin-like growth factor-binding protein, IGFBP
      1 IPR000845	Nucleoside phosphorylase domain
      1 IPR000801	Putative esterase
      1 IPR000788	Ribonucleotide reductase large subunit, C-terminal
      1 IPR000764	Uridine kinase-like
      1 IPR000727	Target SNARE coiled-coil homology domain
      1 IPR000685	Ribulose bisphosphate carboxylase, large subunit, C-terminal
      1 IPR000647	CTF transcription factor/nuclear factor 1
      1 IPR000629	ATP-dependent RNA helicase DEAD-box, conserved site
      1 IPR000542	Acyltransferase ChoActase/COT/CPT
      1 IPR000477	Reverse transcriptase domain
      1 IPR000436	Sushi/SCR/CCP domain
      1 IPR000357	HEAT repeat
      1 IPR000330	SNF2-related, N-terminal domain
      1 IPR000215	Serpin family
      1 IPR000194	ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain
      1 IPR000159	Ras-associating (RA) domain
      1 IPR000053	Thymidine/pyrimidine-nucleoside phosphorylase
      1 IPR000023	Phosphofructokinase domain
